,nome,cpf,idade,data,endereco,estado,pais
0,Kamilly Viana,209.574.136-61,23,11/10/2001,"Núcleo Silveira, 90
São Bento
20555982 Sales / PA",Piauí,Brasil
1,Maria Jesus,327.815.690-03,25,24/04/1999,"Trevo Martins, 9
Santa Monica
00358568 da Conceição / MT",São Paulo,Brasil
2,Giovanna Silveira,538.140.927-32,56,30/05/1968,"Feira de Pimenta, 21
Estrela Do Oriente
74543200 Siqueira de Ramos / RR",Minas Gerais,Brasil
3,Vinicius Peixoto,132.487.609-31,39,04/12/1984,"Chácara Rios, 78
Túnel De Ibirité
63263-747 Sales do Sul / SE",Paraná,Brasil
4,Caroline da Rosa,659.380.742-74,37,19/07/1987,"Aeroporto de Câmara, 91
Vila Olhos D'água
12838787 Cirino do Campo / PI",Rio Grande do Sul,Brasil
5,Sara Alves,283.964.015-51,33,04/12/1990,"Aeroporto Théo Castro, 41
Vila Madre Gertrudes 4ª Seção
54884-198 da Cunha / PB",Amapá,Brasil
6,João Lucas Mendes,824.670.391-96,44,25/06/1980,"Setor Bárbara Duarte, 82
Senhor Dos Passos
49561-812 Almeida / ES",Pará,Brasil
7,Marcela Nunes,608.742.159-94,49,07/03/1975,"Condomínio Danilo Fernandes, 87
Nova Granada
60833-798 Campos de Goiás / MT",Rio Grande do Norte,Brasil
8,Brayan da Luz,641.302.975-70,28,23/11/1995,"Condomínio Pastor, 581
Cônego Pinheiro 2ª Seção
29485-716 Albuquerque do Oeste / RR",Pernambuco,Brasil
9,Diogo Castro,479.026.183-22,35,06/11/1988,"Rua de Aragão, 29
Santana Do Cafezal
17126435 Machado / AM",Goiás,Brasil
